"","countrynum","statenum","Route","RouteName","Active","Latitude","Longitude","BCR","RouteTypeID","RouteTypeDetailID","RouteDataID","RPID","Year","Month","Day","ObsN","TotalSpp","StartTemp","EndTemp","TempScale","StartWind","EndWind","StartSky","EndSky","StartTime","EndTime","Assistant","QualityCurrentID","RunType","State","St_Abrev","Country","strat_name","rt.uni","rt.uni.y","date","doy","date_text"
"18283",840,14,124,"DEATH VALLEY",1,36.4373087,-116.8511739,33,1,1,6184157,101,1977,4,28,1160045,11,"73  ","84  ","F",0,3,0,0,521,920,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-124","14-124-1977",1977-04-28,118,1966-04-28
"18284",840,14,124,"DEATH VALLEY",1,36.4373087,-116.8511739,33,1,1,6188596,101,1980,4,27,1120131,10,"75  ","87  ","F",1,1,2,1,445,837,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-124","14-124-1980",1980-04-27,118,1966-04-27
"18285",840,14,124,"DEATH VALLEY",1,36.4373087,-116.8511739,33,1,1,6210937,101,1992,4,21,1060153,8,"72  ","80  ","F",0,3,1,1,457,848,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-124","14-124-1992",1992-04-21,112,1966-04-21
"21212",840,14,31,"WILDROSE",1,36.5381747,-117.2138369,33,1,1,6186404,101,1979,4,23,970083,11,"46  ","72  ","F",3,1,0,0,520,913,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-31","14-31-1979",1979-04-23,113,1966-04-23
"21361",840,14,35,"CALIF CITY",1,35.0877907,-117.9172289,33,1,1,6188705,101,1980,4,26,970065,29,"47  ","75  ","F",0,0,0,0,510,855,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-35","14-35-1980",1980-04-26,117,1966-04-26
"22124",840,14,48,"GLAMIS",1,33.0446677,-115.1445009,33,1,1,6363720,101,2017,4,28,981425,33,"62  ","67  ","F",0,2,2,1,501,934,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-48","14-48-2017",2017-04-28,118,1966-04-28
"22404",840,14,59,"INYOKERN",1,35.6076917,-117.800197,33,1,1,6367334,101,2018,4,25,981410,18,"68  ","79  ","F",1,0,0,0,520,1143,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-59","14-59-2018",2018-04-25,115,1966-04-25
"22512",840,14,64,"TECOPA",1,35.8040435,-116.1930811,33,1,1,6201842,101,1989,4,28,1160045,25,"55  ","73  ","F",2,1,0,0,529,913,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-64","14-64-1989",1989-04-28,118,1966-04-28
"22618",840,14,70,"COACHELLA CN",0,33.4529856,-115.7137562,33,1,1,6189652,101,1978,4,20,990190,28,"49  ","78  ","F",0,2,0,1,445,915,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-70","14-70-1978",1978-04-20,110,1966-04-20
"23121",840,14,88,"COTTONWOOD",1,33.6738577,-115.8016279,33,1,1,6249092,101,2005,4,26,1090361,18,"62  ","80  ","F",0,0,0,0,518,1040,"0   ",1,1,"CALIFORNIA","CA","US","US-CA-33","14-88","14-88-2005",2005-04-26,116,1966-04-26
